# Generated by `make gen-test-set`. Do not edit.
# ci file | lane | test set | specs
.argoci/cron/e2e-benchmarking.yaml | benchmarks | (benchmark) | -
.argoci/cron/e2e-benchmarking.yaml | tiger-bench | (tiger-bench) | -
.argoci/cron/e2e-bpf.yaml | 9k-mtu-runs-aws-bpf-9k-mtu | bpf/bpf-extnode-aws | 219
.argoci/cron/e2e-bpf.yaml | 9k-mtu-runs-aws-iptables-9k-mtu | bpf/xtables-extnode-aws | 223
.argoci/cron/e2e-bpf.yaml | arm64-smoke-tests-aks-arm64 | legacy/bpf | 424
.argoci/cron/e2e-bpf.yaml | arm64-smoke-tests-kubeadm-arm64 | legacy/bpf | 424
.argoci/cron/e2e-bpf.yaml | bpf-mini-scale-runs | (scale-test) | -
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aks-w-aks-cni | bpf/aks-bpf-nobgp | 209
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aks-w-calico-cni | bpf/aks-bpf | 212
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-encap | legacy/bpf/bpf-run-matrix-aws-encap | 574
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-kops-rhel8-2 | legacy/bpf/bpf-run-matrix-aws-kops-rhel8-2 | 550
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-kubeadm-dual-stack | legacy/bpf/bpf-run-matrix-aws-kubeadm-dual-stack | 292
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-lb-bpf | legacy/bpf/bpf-run-matrix-aws-lb-bpf | 328
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-lb-iptables | legacy/bpf/bpf-run-matrix-aws-lb-iptables | 328
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-single-subnet-dual-ip-family | bpf-aws-single-subnet | 554
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-aws-talos-no-encap-dsr | bpf/bpf-aws | 215
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-bpf-aks-w-aks-cni-overlay | bpf/aks-bpf-encap-nobgp | 207
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-eks-w-aws-cni | bpf/bpf-nobgp-extnode-aws | 216
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-eks-w-calico-cni | bpf/eks-bpf-encap-extnode-aws | 205
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-gcp-bpf-dp-dsr | bpf/bpf-v3crd-extnode | 215
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-gcp-bpf-dp-encap-w-nodelocal-dnscache | legacy/bpf/bpf-run-matrix-gcp-bpf-dp-encap-w-nodelocal-dnscache | 574
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-kops-w-calico-cni-ipv4 | legacy/bpf/bpf-run-matrix-kops-w-calico-cni-ipv4 | 412
.argoci/cron/e2e-bpf.yaml | bpf-run-matrix-kops-w-calico-cni-ipv6 | legacy/bpf/bpf-run-matrix-kops-w-calico-cni-ipv6 | 412
.argoci/cron/e2e-bpf.yaml | kubevirt-e2e-tests | gcp/kubevirt | 8
.argoci/cron/e2e-bpf.yaml | usage-reporting-with-bpf | (usage-reporting) | -
.argoci/cron/e2e-bpf.yaml | wireguard | bpf/aks-bpf-encap-nobgp | 207
.argoci/cron/e2e-certification.yaml | hcp-hosted-setup-and-tests | (ocp-cert) | -
.argoci/cron/e2e-certification.yaml | hcp-setup-hosting | (ocp-cert) | -
.argoci/cron/e2e-certification.yaml | standalone-cluster-tests | (ocp-cert) | -
.argoci/cron/e2e-iptables.yaml | aks-aks-migrate-from-vendored-calico-cni-to-calico-cni | legacy/iptables/aks-aks-migrate-from-vendored-calico-cni-to-calico-cni | 426
.argoci/cron/e2e-iptables.yaml | aks-aks-private-w-aks-cni-overlay | legacy/iptables/aks-aks-private-w-aks-cni-overlay | 462
.argoci/cron/e2e-iptables.yaml | aks-aks-w-aks-cni | legacy/iptables/aks-aks-w-aks-cni | 425
.argoci/cron/e2e-iptables.yaml | aks-aks-w-calico-cni | legacy/iptables/aks-aks-w-calico-cni | 426
.argoci/cron/e2e-iptables.yaml | arm64-smoke-tests-aks-arm64 | legacy/iptables | 425
.argoci/cron/e2e-iptables.yaml | arm64-smoke-tests-eks-arm64-calico-cni | legacy/iptables/arm64-smoke-tests-eks-arm64-calico-cni | 294
.argoci/cron/e2e-iptables.yaml | autohep-test | iptables/xtables-autohep | 222
.argoci/cron/e2e-iptables.yaml | datastore-k8s-e2e-etcd | iptables/xtables-manifest-v3crd | 207
.argoci/cron/e2e-iptables.yaml | datastore-k8s-e2e-kdd-new | iptables/xtables-manifest | 211
.argoci/cron/e2e-iptables.yaml | datastore-k8s-e2e-kdd-old | iptables/xtables-manifest | 211
.argoci/cron/e2e-iptables.yaml | distro-support | iptables/xtables-encap-nobgp | 214
.argoci/cron/e2e-iptables.yaml | dual-stack-k8s-e2e-etcd | iptables/xtables-manifest-v3crd | 207
.argoci/cron/e2e-iptables.yaml | dual-stack-k8s-e2e-kdd | iptables/xtables-manifest | 211
.argoci/cron/e2e-iptables.yaml | focused-wireguard-e2e-aks-w-azure-cni | wireguard | 1
.argoci/cron/e2e-iptables.yaml | focused-wireguard-e2e-aks-with-calico-cni | wireguard | 1
.argoci/cron/e2e-iptables.yaml | focused-wireguard-e2e-eks-kdd-aws-cni | wireguard | 1
.argoci/cron/e2e-iptables.yaml | focused-wireguard-e2e-eks-kdd-calico-cni | wireguard | 1
.argoci/cron/e2e-iptables.yaml | ipvs | iptables/xtables-v3crd | 215
.argoci/cron/e2e-iptables.yaml | k8s-beta-runs | iptables/xtables-manifest | 211
.argoci/cron/e2e-iptables.yaml | k8s-distros | iptables/xtables | 219
.argoci/cron/e2e-iptables.yaml | kubevirt-e2e-tests | gcp/kubevirt | 8
.argoci/cron/e2e-iptables.yaml | migration | iptables/xtables-manifest | 211
